Role,Category,Qualifications,Institutes,Notes,Employers,Sources,Verify
Footwear Design Engineer (Sports Shoes),Manufacturing & Equipment,"Bachelor's/Master's from FDDI in Footwear Design & Production, or B.Des in Leather Design (NIFT) with footwear specialisation","FDDI (Footwear Design & Development Institute) - Institution of National Importance, 12 campuses (Noida, Chennai, Ankleshwar, Chhindwara, Amethi etc.), curriculum co-designed with IIT Delhi; NIFT B.Des Leather Design; Central Footwear Training Institute (CFTI), Chennai",FDDI explicitly lists 'Footwear Designer for Fashion and Sport shoes' as a career outcome,,"fddiindia.com, nift.ac.in, collegedekho.com",yes
Sports Data Analyst,Sports Technology & Analytics,"Bachelor's/Master's in Statistics, Data Science, Computer Science, or Sports Management; proficiency in R, Python, Tableau, SQL","CoLLearn Sports Analytics Course (NSDC/Skill India); Rajasthan Royals Certified Sports Analytics Course (online); Boston Institute of Analytics (Sports Mgmt & Analytics cert/diploma); ISST Pune (industry-led, IPL/ISL practitioners)",No formal university-degree-level 'sports data analyst' programme yet in India - most credentialing is short certificates on a general STEM/stats degree. Dream Sports and Sportskeeda are active employers,,"collearnsports.com, ub.rajasthanroyals.com, bostoninstituteofanalytics.org, isst.co.in",yes
Performance Analytics Specialist (Wearables/GPS),Sports Technology & Analytics,"BS/MS Data Science, Statistics, or CS with sports internship experience; OR BS/MS Kinesiology/Exercise Physiology + coding skills. Familiarity with GPS systems (Catapult, STATSports) and video tools (Hudl Sportscode, Dartfish) expected.",NSNIS Patiala - Dept. of Sports Biomechanics ('Biomechanics of Human Performance' certificate); NPTEL/SWAYAM free course 'Exercise and Sports Biomechanics'; general data-science degrees + ISST Pune training,BCCI uses injury/workload tracking for national/U-19 squads; ISL clubs use GPS vests. WPL/Pro Kabaddi cited as expanding this market,,"isst.co.in, nsnis.org, classcentral.com, outlookindia.com",yes
Sports Software / App Developer,Sports Technology & Analytics,"B.Tech/B.E. or BCA/MCA in Computer Science, or equivalent software development background; no sports-specific degree exists","Any recognised Computer Science engineering programme (IITs, NITs, private colleges); no dedicated 'sports software developer' degree identified",,"CricViz (Mumbai ops), Krify, Hyperlink InfoSystem, Spec India, Dream Sports/Dream11","cricviz.com, krify.co, dreamsports.group",yes
Wearable Technology Engineer,Sports Technology & Analytics,"Background in Biomedical Engineering, Electrical Engineering, or related field; senior roles need analog/mixed-signal circuits, PCB design, sensor integration, bio-signal processing expertise","Biomedical Engineering at IIT Hyderabad, IIT (BHU) Varanasi, IIT Bombay, VIT Vellore; Electrical/Electronics Engineering generally",India-specific postings for this exact title are sparse; most search results are US-centric. Treat employer/degree matching as 'varies by employer',,"meegle.com, indeed.com",yes
Sports Data Scientist / AI in Sports Specialist,Sports Technology & Analytics,Bachelor's in Computer Science/Engineering/Mathematics/Statistics; Master's/PhD in Machine Learning/AI desirable for senior roles,IIT Madras - 'Howzzat: Cricstats?' 8-week Cricket Analytics programme (with Pravartak Technologies Foundation & GITAA); IIT Bombay Advanced Certificate Programme in Business Analytics (with Shailesh J. Mehta School of Management),"Dream Sports has a dedicated sports-domain data science team (ML Scientist, Principal ML Scientist, Director-Data Science roles), working with 250M+ users' data",,"news.careers360.com, ioe.iitm.ac.in, dreamsports.group",yes
Video Analysis Technologist (Hawk-Eye/VAR-adjacent),Sports Technology & Analytics,Engineering background (electronics/CS) for systems/engineering-track roles; sports science/analytics background for on-ground 'Systems Operator' roles. No formal India-specific degree required - trained internally.,Not standardised - Hawk-Eye Innovations (part of Sony) recruits both engineering-track and operational staff directly; no specific Indian university partnership identified,"Hawk-Eye covers 30,000+ events across 500+ stadiums in 90+ countries. India-based Cricket Systems Operator roles advertised directly by the company",,"careers.hawkeyeinnovations.com, hawkeyetechnologyindia.in",yes
Sports Journalist / Sports Reporter,"Media, Broadcast & Journalism",Bachelor's/Master's in Journalism & Mass Communication (BJMC/MJMC); no dedicated 'sports journalism' degree exists - offered as a specialisation/elective within J&MC,"Indian Institute of Mass Communication (IIMC), New Delhi; Asian College of Journalism, Chennai; Xavier Institute of Communication, Mumbai; Indian Institute of Journalism and New Media, Bangalore",,"print/digital sports desks, Sportstar, ESPNcricinfo, news broadcasters","collegedunia.com, careers360.com",yes
Sports Commentator / Anchor,"Media, Broadcast & Journalism",No mandatory degree; typically journalism/mass communication or sports management/sciences background + voice/anchoring training. Broadcast journalism PG diplomas common entry route.,IIMC PG Diploma in Radio & TV Journalism; NIMC (New Delhi) Broadcast Journalism; Rajasthan Royals' online Sports Media & Broadcasting course (with Mayanti Langer),Deep game knowledge/technical expertise often valued over a formal degree,"Star Sports, JioCinema","iimc.gov.in, isst.co.in, rsb.rajasthanroyals.com",yes
Sports Broadcast Producer,"Media, Broadcast & Journalism","Diploma/degree in TV/Radio/Film Production or Mass Communication; 1-yr production diplomas (open to 10+2 pass or graduates) covering pre-production, studio production, editing, vision mixing","Film and Television Institute of India (FTII), Pune; Asian Academy of Film and Television (AAFT), Noida; Jamia Millia Islamia AJK Mass Communication Research Centre; Symbiosis Institute of Media and Communication, Pune; IIMC PG Diploma Radio & TV Journalism",,"Star Sports, Sony Sports Network, JioCinema, production houses contracted to leagues","iimc.gov.in, targetstudy.com",yes
Sports Photographer / Videographer,"Media, Broadcast & Journalism",Diploma/certificate in Photography and Videography; some institutes offer sports-specific specialisation,"Symbiosis School of Visual Arts and Photography (SSVAP), Pune; National Institute of Photography; Creative Hut's Professional Diploma in Photography & Cinematography (Sports & Automotive Photography specialisation)",,"PTI, ANI, federations, franchises, freelance/agency work","ssvap.edu.in, creativehut.org, shiksha.com",yes
Sports Social Media Manager / Digital Content Creator,"Media, Broadcast & Journalism","No fixed degree path; typically bachelor's in mass communication/marketing + digital/social media certifications (video editing, analytics, platform tools)",Meta Blueprint (free); Google Digital Garage; HubSpot Academy; UpGrad/Kraftshala paid programmes; IISDT Diploma in Social Media Marketing and Management,No sports-specific accredited social-media degree found,"IPL/ISL franchises, federations, sports OTT platforms, athlete-branding agencies","blog.orphicsolution.com, iisdt.in",yes
Sports PR & Communications Manager,"Media, Broadcast & Journalism",Bachelor's in Communications/Journalism/Public Relations; Master's in PR/Communications or MBA for senior roles,"IIMC; Xavier Institute of Communication, Mumbai; MICA (Mudra Institute of Communications, Ahmedabad); sports management MBA/PGDM programmes with PR modules",,"sports federations, IPL/ISL franchises, PR agencies with sports verticals, athlete management firms","blog.jobsinsports.com, careerplanb.co",yes
Sports Marketing Manager,"Business, Marketing & Sponsorship","MBA/PGDM in Sports Management or Marketing (2-yr full-time), or bachelor's in sports management/business + specialised certificate",SRM Institute of Science and Technology - MBA Sports Management; IIM Ahmedabad Executive Education - Sports & Entertainment Marketing Management Programme; IISM Mumbai - Certificate in Advanced Sports Marketing; TISS Bachelor in Sports Management; IISWBM PG Diploma in Sports Management,,"BCCI, JSW Sports, Star Sports, IPL/ISL franchises, GroupM ESP","srmist.edu.in, exed.iima.ac.in, iismworld.com, sve.tiss.edu",yes
Sponsorship Sales Manager,"Business, Marketing & Sponsorship",MBA/PGDM (Marketing/Sales) or Sports Management degree; sales/business-development track record often weighted as much as formal qualification,"Same sports-management MBA/PGDM ecosystem (SRM, IISM Mumbai, IISWBM, ISBR Bangalore PGDM Sports Management with dual specialisation)",No dedicated 'sponsorship sales' degree found,"GroupM ESP, Baseline Ventures, franchises, federations","isbr.in, kritsports.com",yes
Sports Brand Manager,"Business, Marketing & Sponsorship",MBA in Marketing/Brand Management or Sports Management,"Same MBA/PGDM sports management programmes (SRM, ISBR Bangalore, IISM Mumbai, IISWBM); general MBA brand-management specialisations",,"Nike India, sportswear/apparel brands, IPL/ISL team brand divisions","thesportsschool.com, kritsports.com",yes
Sports Agent / Athlete Manager,"Business, Marketing & Sponsorship","No single mandated Indian degree; common backgrounds: Sports Management MBA/PGDM, LLB (contract negotiation), or sports-agent-specific certificate courses","Sports Management Worldwide's Sports Agent Advanced Certificate (international); Indian sports-management PGDM/MBA (IISM Mumbai, ISBR Bangalore) with athlete-management modules",Sports agent is not a licensed profession in India (unlike some Western markets) - flagged by FICCI-commissioned reports as under-regulated,"Baseline Ventures, Cornerstone Sport, independent agents","team.sportsmanagementworldwide.com, aists.org",yes
Ticketing & Revenue Manager,"Business, Marketing & Sponsorship",Bachelor's/MBA in Business/Commerce or Sports Management; operations/finance-oriented role rather than a licensed qualification,"General sports management MBA/PGDM programmes (SRM, IISM Mumbai, ISBR Bangalore) with venue/revenue-management modules",No dedicated ticketing-management degree identified in India,"IPL/ISL franchises, stadium/venue operators, BCCI","iismworld.com, lemonn.co.in",yes
Sports Merchandising Manager,"Business, Marketing & Sponsorship","MBA/PGDM in Marketing, Retail, or Sports Management","Same sports-management MBA/PGDM ecosystem (IISM Mumbai, IISWBM, ISBR Bangalore); retail-management specialisations at general B-schools",Top IPL teams' merchandise revenue reported at Rs 10-20 crore/year (source-cited estimate),,"iismworld.com, crickcore.com",yes
Franchise / League Business Operations Manager,"Business, Marketing & Sponsorship",MBA (Operations/General Management) or Sports Management degree; internships with a league/franchise strongly improve placement,SRM MBA Sports Management; IISM Mumbai; ISBR Bangalore PGDM Sports Management; TISS Bachelor in Sports Management,"Franchise-level roles span operations, logistics, marketing/sponsorship, ticketing, hospitality, fan engagement",BCCI/IPL and ISL franchises,isst.co.in,yes
Sports Federation Administrator / Secretary General,"Administration, Policy & Law","Historically no single mandated qualification; under the National Sports Governance Act, 2025 (commenced 31 Dec 2025) and the National Sports Governance (National Sports Bodies) Rules, 2026, President/Secretary General/Treasurer eligibility, election and disqualification criteria are now defined by statute.","Sports management PGDM/MBA (IISM Mumbai, IISWBM) combined with governance/administration experience; no specific 'Secretary General' certification course found","Exact educational qualifications set by each federation's constitution, subject to NSGA 2025 compliance - not a uniform national syllabus",,"en.wikipedia.org (NSGA 2025), pib.gov.in, mondaq.com",yes
Sports Policy Analyst,"Administration, Policy & Law",Master's in Public Policy (MPP) or related social science/economics degree; sports-specific specialisation usually built on the job,Takshashila Institution's Graduate Certificate/PGP in Public Policy (Bengaluru); IIM Bangalore MPP; Jindal School of Government and Public Policy (O.P. Jindal Global University); TISS; Ashoka University,Typical track: Research Associate -> Policy Analyst -> Senior Analyst -> Fellow/Director,"think tanks (Takshashila, ORF, CPR, Vidhi Centre), Ministry of Youth Affairs & Sports, NITI Aayog","takshashila.org.in, careercoachs.com",yes
Sports Lawyer,"Administration, Policy & Law",LLB (5-yr integrated or 3-yr after graduation); short-term/executive certificate courses in sports law add specialisation,"Sports Law & Policy Centre (SLPC), Bengaluru (GoSports Foundation + LawNK); Centre for Sports Law and Policy, NUJS Kolkata; Centre for Sports Law and Policy, Symbiosis Law School; NLU Delhi Online Certificate in Sports Law & Safe Sport Practices; MNLU Mumbai Online Certificate (with SAI); NLU Odisha credit course (with Doctrina Ludus)",,"federations, franchises, arbitration bodies (Court of Arbitration for Sport matters), law firms with sports practices","sportslaw.in, nujs.edu, legalschool.in, scconline.com, nluo.ac.in",yes
Anti-Doping Officer / Compliance Officer,"Administration, Policy & Law","Varies by post: Sample Collection Coordinator - graduate degree + 2 yrs relevant experience. Scientific/technical roles (e.g. Senior Scientific Officer) - first-class M.Sc. in Biochemistry/Pharmacology/Chemistry/Sports Science/Medicine + 8 yrs experience, or PhD + 5 yrs.","No dedicated Indian degree; built via M.Sc./PhD in Biochemistry, Pharmacology, Chemistry, Sports Science or Medicine + NADA-specific/WADA-recognised training",NADA India is an autonomous body under the Ministry of Youth Affairs & Sports; recruits on deputation/contract/consultant basis,,"nadaindia.yas.gov.in, en.wikipedia.org",yes
