Title,Authors,Year,Genre,Region,Synopsis,Link,Verify
Pundits from Pakistan,Rahul Bhattacharya,2005,Reportage,India,"A tour diary of India's 2004 series in Pakistan, and among the best-written cricket books from the subcontinent.",https://www.amazon.in/s?k=Pundits+from+Pakistan+Rahul+Bhattacharya,yes
Sachin: Cricketer of the Century,Vaibhav Purandare,2005,Biography,India,An outside account of Tendulkar's career and the weight of national expectation.,https://www.amazon.in/s?k=Sachin%3A+Cricketer+of+the+Century+Vaibhav+Purandare,yes
Moneyball,Michael Lewis,2003,Business & economics,Global,"How a poor baseball team used overlooked statistics to beat richer ones, and why the idea spread everywhere.",https://www.amazon.in/s?k=Moneyball+Michael+Lewis,yes
A Corner of a Foreign Field,Ramachandra Guha,2002,History,India,"Cricket read as Indian social history — caste, religion, race and nation seen through the game.",https://www.amazon.in/s?k=A+Corner+of+a+Foreign+Field+Ramachandra+Guha,yes
Seabiscuit,Laura Hillenbrand,2001,History,Global,Depression-era America told through a racehorse and the three men who rebuilt their lives around it.,https://www.amazon.in/s?k=Seabiscuit+Laura+Hillenbrand,yes
Fever Pitch,Nick Hornby,1992,Autobiography,Global,"Football fandom as autobiography, and the book that made supporter writing respectable.",https://www.amazon.in/s?k=Fever+Pitch+Nick+Hornby,yes
Friday Night Lights,H. G. Bissinger,1990,Reportage,Global,"A season with a Texas high-school football team, and what the town needed from it.",https://www.amazon.in/s?k=Friday+Night+Lights+H.+G.+Bissinger,yes
The Rider,Tim Krabbe,1978,Fiction,Global,"A single 137-kilometre cycling race, narrated kilometre by kilometre. Widely held to be the best novel about sport.",https://www.amazon.in/s?k=The+Rider+Tim+Krabbe,yes
Sunny Days,Sunil Gavaskar,1976,Autobiography,India,"The early memoir of India's first great opening batsman, written at the height of his career.",https://www.amazon.in/s?k=Sunny+Days+Sunil+Gavaskar,yes
Beyond a Boundary,C. L. R. James,1963,History,Global,"The book that made sport a serious subject — cricket, colonialism and class in the West Indies.",https://www.amazon.in/s?k=Beyond+a+Boundary+C.+L.+R.+James,yes
